AREA_NAME,AREA_SHORT_CODE,Average Total Income,Median Age,Average Household Size,Total private dwellings,Average Commute Time,"Car, truck, van - as a driver %","Car, truck, van - as a passenger %",Public transit %,Walked %,Bicycle %,Single-detached house %,Apartment in a building w/ >= 5 stories %,Semi-detached house %,Row house %,Apartment or flat in a duplex %,Apartment in a building w/ < 5 stories %,"No certificate, diploma or degree",Secondary (high) school diploma or equivalent,"Postsecondary certificate, diploma or degree"
Bedford Park-Nortown,39,123077.0,41.263312986739635,2.68,9052,31.532317393589068,0.6239495798319328,0.037289915966386554,0.2536764705882353,0.05777310924369748,0.009453781512605041,0.5598141695702671,0.23170731707317074,0.005226480836236934,0.007549361207897794,0.036585365853658534,0.14634146341463414,0.03653169014084507,0.13600352112676056,0.8279049295774648
Beechborough-Greenbrook,112,33829.0,41.263312986739635,2.4,2796,40.6572504708098,0.4651600753295669,0.06591337099811675,0.416195856873823,0.03766478342749529,0.007532956685499058,0.2504708097928437,0.2504708097928437,0.030131826741996232,0.005649717514124294,0.03389830508474576,0.4256120527306968,0.22159887798036465,0.2847124824684432,0.49368863955119213
Bendale,127,33256.0,41.263312986739635,2.7,11293,39.311871227364186,0.5201126307320998,0.0498793242156074,0.37650844730490746,0.0418342719227675,0.0036202735317779565,0.35949837436135623,0.4505341384115188,0.02693915466790525,0.030190431955411056,0.09986065954482118,0.03158383650719926,0.13426075703655774,0.2594629569718538,0.6059527660951148
Birchcliffe-Cliffside,122,54360.0,41.22690058479533,2.36,9637,37.84653465346535,0.5638613861386138,0.047524752475247525,0.3178217821782178,0.04108910891089109,0.013861386138613862,0.532319391634981,0.10266159695817491,0.04617055947854427,0.0043454644215100485,0.09560021727322107,0.21292775665399238,0.09652971679297966,0.25488631830873554,0.6489828480255285
Black Creek,24,25989.0,41.263312986739635,2.94,7671,37.350411132194814,0.5107458912768648,0.09292035398230089,0.3438685208596713,0.030973451327433628,0.010745891276864728,0.09289617486338798,0.555327868852459,0.09016393442622951,0.1557377049180328,0.02117486338797814,0.0860655737704918,0.32562358276643993,0.28616780045351475,0.3873015873015873
Blake-Jones,69,48511.0,41.263312986739635,2.46,3269,34.80148148148148,0.3180473372781065,0.034023668639053255,0.47485207100591714,0.06656804733727811,0.09023668639053255,0.15814696485623003,0.1501597444089457,0.26038338658146964,0.1182108626198083,0.054313099041533544,0.2539936102236422,0.10741971207087486,0.17275747508305647,0.7209302325581395
Briar Hill-Belgravia,108,34768.0,41.263312986739635,2.48,6080,39.10872576177285,0.3975069252077562,0.04224376731301939,0.4979224376731302,0.04224376731301939,0.008310249307479225,0.2807323452484743,0.4176111595466434,0.02702702702702703,0.013077593722755012,0.06713164777680906,0.1918047079337402,0.1272515979081929,0.22893666472980825,0.6438117373619988
Bridle Path-Sunnybrook-York Mills,41,308010.0,41.263312986739635,2.83,3478,31.48837209302325,0.6956521739130435,0.043478260869565216,0.18012422360248448,0.05124223602484472,0.010869565217391304,0.7010785824345146,0.18181818181818182,0.012326656394453005,0.07087827426810478,0.009244992295839754,0.02465331278890601,0.012114537444933921,0.10682819383259912,0.8799559471365639
Broadview North,57,44557.0,41.22690058479533,2.0,5812,35.46243291592129,0.35989256938227393,0.02954341987466428,0.4852282900626679,0.06177260519247986,0.052820053715308866,0.1500441306266549,0.5869373345101501,0.07766990291262135,0.01412180052956752,0.0264783759929391,0.14386584289496912,0.10254596888260255,0.19943422913719944,0.6987270155586988
Brookhaven-Amesbury,30,32483.0,41.263312986739635,2.73,6667,40.018927444794954,0.48264984227129337,0.049842271293375394,0.42649842271293376,0.032176656151419555,0.0031545741324921135,0.2762345679012346,0.5779320987654321,0.037037037037037035,0.0038580246913580245,0.020833333333333332,0.08333333333333333,0.22645393721049922,0.2835820895522388,0.49047864127637675
